Name complex,room number,square,floor,Цена на 25.01.2022,Цена на 11.06.2022,Цена на 15.02.2023
complex URAL,2,61.7,21,106000,125000,157700

complex URAL,2,61.7,22,106000,125000,157700

complex URAL,2,61.7,23,106000,125000,157700

complex URAL,3,77.34,3,85000,106000,133600

complex URAL,3,77.34,4,85000,106000,133600

complex URAL,3,77.34,5,85000,106000,133600

complex URAL,3,77.34,6,85000,106000,133600

complex URAL,3,79.14,3,85000,106000,133600

complex URAL,3,79.14,4,85000,106000,133600

complex URAL,3,79.14,5,85000,106000,133600

complex URAL,3,79.14,6,85000,106000,133600

complex URAL,3,77.34,7,88000,109000,137000

complex URAL,3,77.34,8,88000,109000,137000

complex URAL,3,77.34,9,88000,109000,137000

complex URAL,3,77.34,10,88000,109000,137000

complex URAL,3,77.34,11,88000,109000,137000

complex URAL,3,77.34,12,88000,109000,137000

complex URAL,3,77.34,13,88000,109000,137000

complex URAL,3,77.34,14,88000,109000,137000

