Name complex,room number,square,floor,Цена на 25.01.2022,Цена на 11.06.2022,Цена на 15.02.2023
complex Smorodina; liter 2;3;4,2,57.78,12,95000,107000,122800

complex Smorodina; liter 2;3;4,2,57.78,13,96000,108000,123900

complex Smorodina; liter 2;3;4,2,57.78,14,96000,108000,123900

complex Smorodina; liter 2;3;4,2,57.78,15,96000,108000,123900

complex Smorodina; liter 2;3;4,2,57.78,16,96000,108000,123900

complex Smorodina; liter 2;3;4,3,68.22,9,97000,105000,123900

complex Smorodina; liter 2;3;4,3,68.22,10,97000,105000,123900

complex Smorodina; liter 2;3;4,3,68.22,11,97000,105000,123900

complex Smorodina; liter 2;3;4,3,68.22,12,97000,105000,123900

complex Smorodina; liter 2;3;4,3,68.22,13,98000,106000,125000

complex Smorodina; liter 2;3;4,3,68.22,14,98000,106000,125000

complex Smorodina; liter 2;3;4,3,68.22,15,98000,106000,125000

complex Smorodina; liter 2;3;4,3,68.22,16,98000,106000,125000

complex AVrorA,1,44.44,2,187000,202000,236600

complex AVrorA,1,44.54,2,187000,202000,236600

complex AVrorA,1,46.04,1,194000,199000,233300

complex AVrorA,1,46.04,2,194000,199000,233300

complex AVrorA,1,46.04,3,194000,199000,233300

complex AVrorA,1,46.04,4,194000,199000,233300

complex AVrorA,1,48.26,1,194000,199000,233300

complex AVrorA,1,48.26,2,194000,199000,233300

complex AVrorA,1,48.26,3,194000,199000,233300

complex AVrorA,1,48.26,4,194000,199000,233300

complex AVrorA,1,46.04,5,199000,204000,238800

complex AVrorA,1,46.04,6,199000,204000,238800

complex AVrorA,1,46.04,7,199000,204000,238800

complex AVrorA,1,46.04,8,199000,204000,238800

complex AVrorA,1,48.26,5,199000,204000,238800

complex AVrorA,1,48.26,6,199000,204000,238800

complex AVrorA,1,48.26,7,199000,204000,238800

complex AVrorA,1,48.26,8,199000,204000,238800

complex AVrorA,1,46.04,9,203000,208000,243200

complex AVrorA,1,46.04,10,203000,208000,243200

complex AVrorA,1,46.04,11,203000,208000,243200

complex AVrorA,1,46.04,12,203000,208000,243200

complex AVrorA,1,48.26,9,203000,208000,243200

complex AVrorA,1,48.26,10,203000,208000,243200

complex AVrorA,1,48.26,11,203000,208000,243200

complex AVrorA,1,48.26,12,203000,208000,243200

complex AVrorA,1,46.04,13,207000,212000,247700

complex AVrorA,1,46.04,14,207000,212000,247700

complex AVrorA,1,46.04,15,207000,212000,247700

complex AVrorA,1,46.04,16,207000,212000,247700

complex AVrorA,1,48.26,13,207000,212000,247700

complex AVrorA,1,48.26,14,207000,212000,247700

